Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),39.09,0.86,182.44,1601102.16,12.75,16.31,18.77,25.03,37.81,51.82,58.56,61.13,89.01,17.04
Error Input Sequence Length (tokens),83836.80,83427.00,84246.00,419184.00,83433.60,83460.00,83493.00,83592.00,83749.00,84170.00,84215.60,84230.80,84242.96,320.64
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,140.58,1.00,2852.00,5757595.00,3.00,10.00,12.00,19.00,44.00,141.00,367.00,630.00,1318.00,250.97
HTTP Chunks Sent,1.00,1.00,1.00,40955.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.44,330.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Connection Overhead (ms),0.01,0.00,2.44,330.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Connection Reused (ratio),0.99,0.00,1.00,40705.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),36.82,0.73,733.60,1507882.01,1.27,3.01,3.54,5.31,11.84,36.87,95.69,163.60,341.36,64.93
HTTP Data Sent (KB),139.91,76.22,302.86,5730154.24,80.47,87.60,94.02,110.60,136.10,164.72,190.28,206.83,236.13,36.90
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4617.03,282.46,50554.95,189090430.13,700.62,976.97,1142.63,1516.15,2295.92,4658.43,10443.69,17038.32,34425.06,6298.05
HTTP Receiving (ms),3514.63,0.00,49773.17,143941790.62,29.98,172.99,261.22,429.33,1079.18,3523.05,9346.00,15920.21,33393.27,6277.01
HTTP Sending (ms),0.20,0.08,10.68,8187.59,0.13,0.15,0.15,0.17,0.19,0.21,0.23,0.25,0.31,0.15
HTTP Total Time (ms),4617.04,284.16,50554.95,189090760.60,700.62,976.97,1142.63,1516.15,2295.92,4658.43,10443.69,17038.32,34425.06,6298.04
HTTP Waiting (TTFB) (ms),1102.20,131.70,3926.12,45140451.92,332.68,488.73,585.35,775.25,1039.02,1360.91,1695.49,1927.63,2428.95,451.95
Input Sequence Length (tokens),37431.67,20508.00,81192.00,1533013941.00,21632.54,23533.00,25226.80,29635.00,36418.00,44011.00,50831.20,55263.30,63062.44,9819.16
Inter Chunk Latency (ms),25.23,0.00,678.81,143936225.90,2.41,3.78,4.90,7.46,10.99,31.40,63.15,89.61,163.04,33.24
Inter Token Latency (ms),13.61,0.00,40.69,557401.14,0.98,5.54,7.94,11.60,14.66,16.12,17.30,18.65,22.68,4.12
OSL Mismatch Diff % (%),1.45,-96.77,8.33,59341.44,-1.59,-0.34,-0.16,0.26,1.12,3.33,3.33,3.33,3.33,1.56
Output Sequence Length (tokens),232.04,1.00,2998.00,9503361.00,30.00,31.00,31.00,31.00,78.00,233.00,598.00,1019.00,2135.00,395.53
Output Token Count (tokens),232.04,1.00,2998.00,9503361.00,30.00,31.00,31.00,31.00,78.00,233.00,598.00,1019.00,2135.00,395.53
Output Token Throughput Per User (tokens/sec/user),106.55,24.57,6721.06,4357071.82,44.09,53.61,57.80,62.04,68.19,86.01,125.15,178.14,876.22,238.19
Prefill Throughput Per User (tokens/sec/user),40164.30,6791.13,215402.73,1644928785.49,12340.59,16608.15,19527.70,25678.56,35229.59,49020.80,66615.20,80716.09,113806.07,21103.09
Request Latency (ms),4617.07,282.69,50555.05,189091903.25,700.72,977.01,1142.71,1516.14,2296.03,4658.52,10443.78,17038.40,34425.15,6298.04
Time to First Output Token (ms),1102.57,134.08,3926.46,45155677.35,333.21,489.04,585.66,775.54,1039.39,1361.17,1696.04,1928.18,2429.20,451.97
Time to First Token (ms),1102.57,134.08,3926.46,45155677.35,333.21,489.04,585.66,775.54,1039.39,1361.17,1696.04,1928.18,2429.20,451.97
Time to Second Token (ms),7.89,0.00,366.06,323317.21,0.00,0.00,1.14,2.51,4.25,7.35,13.38,25.20,87.35,15.55

Metric,Value
Benchmark Duration (sec),1026.74
Error Request Count,5.00
OSL Mismatch Count,72.00
Output Token Throughput (tokens/sec),9255.88
Request Count,40955.00
Request Throughput (requests/sec),39.89
Total Error Input Sequence Length (tokens),419184.00
Total Input Sequence Length (tokens),1533013941.00
Total Output Sequence Length (tokens),9503361.00
Total Output Tokens (tokens),9503361.00
Total Token Throughput (tokens/sec),1502348.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
