Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),61.95,18.93,188.73,1268719.84,27.16,32.55,35.91,44.18,61.40,79.10,86.70,89.59,113.11,20.39
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,183.78,2.00,2563.00,3763742.00,11.00,16.00,20.00,25.00,59.00,186.00,487.00,818.00,1711.21,318.87
HTTP Chunks Sent,1.00,1.00,1.00,20480.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.37,128.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Connection Overhead (ms),0.01,0.00,2.37,128.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Connection Reused (ratio),1.00,0.00,1.00,20380.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),47.73,1.00,658.94,977511.79,3.31,4.54,5.52,6.84,15.52,48.28,125.68,211.02,441.36,82.10
HTTP Data Sent (KB),140.54,76.71,288.87,2878181.94,81.23,88.44,95.00,111.32,136.99,165.08,190.91,207.56,235.65,36.77
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2972.31,297.84,33897.07,60872988.69,513.16,620.41,688.98,849.88,1308.90,2985.04,7041.90,11537.73,23411.62,4299.45
HTTP Receiving (ms),2447.12,5.59,33561.07,50116917.40,140.78,197.05,228.51,302.61,764.99,2453.78,6504.85,10985.84,22794.00,4294.10
HTTP Sending (ms),0.19,0.08,3.00,3942.41,0.13,0.14,0.15,0.16,0.19,0.20,0.23,0.24,0.29,0.12
HTTP Total Time (ms),2972.32,297.84,33897.07,60873117.08,513.16,620.41,688.98,849.88,1308.90,2985.04,7041.90,11537.73,23411.62,4299.44
HTTP Waiting (TTFB) (ms),525.01,131.76,1404.57,10752128.89,242.99,302.73,337.56,405.82,501.99,616.85,743.85,828.65,1013.91,164.10
Input Sequence Length (tokens),37499.89,20571.00,77071.00,767997767.00,21725.79,23636.00,25373.80,29730.25,36550.50,44034.25,50928.80,55465.50,62851.72,9798.08
Inter Chunk Latency (ms),13.42,0.00,270.00,50115599.41,1.31,2.39,3.68,6.67,8.23,12.36,32.15,43.74,73.16,14.72
Inter Token Latency (ms),9.79,0.19,25.88,200468.58,4.59,6.28,7.20,8.81,10.24,11.00,11.53,11.98,13.49,1.84
OSL Mismatch Diff % (%),1.45,-13.33,6.67,29625.36,-1.60,-0.32,-0.15,0.25,1.12,3.33,3.33,3.33,3.33,1.49
Output Sequence Length (tokens),232.09,26.00,2992.00,4753275.00,30.00,31.00,31.00,31.00,77.00,235.00,604.00,1015.05,2123.68,393.65
Output Token Count (tokens),232.09,26.00,2992.00,4753275.00,30.00,31.00,31.00,31.00,77.00,235.00,604.00,1015.05,2123.68,393.65
Output Token Throughput Per User (tokens/sec/user),108.75,38.64,5358.79,2227199.75,74.13,83.51,86.75,90.94,97.70,113.50,138.96,159.12,217.92,75.35
Prefill Throughput Per User (tokens/sec/user),77052.66,17861.21,224852.29,1578038520.52,30539.18,39256.98,44993.39,56854.99,73312.60,93565.53,114031.81,127027.64,154930.02,27403.79
Request Latency (ms),2972.37,297.94,33897.17,60874215.00,513.27,620.47,688.93,849.96,1308.93,2985.12,7041.99,11537.81,23411.73,4299.44
Time to First Output Token (ms),525.32,132.15,1404.87,10758615.59,243.40,303.12,337.83,406.10,502.30,617.10,744.08,829.09,1014.16,164.11
Time to First Token (ms),525.32,132.15,1404.87,10758615.59,243.40,303.12,337.83,406.10,502.30,617.10,744.08,829.09,1014.16,164.11
Time to Second Token (ms),2.41,0.00,127.52,49369.24,0.00,0.26,0.48,0.81,1.40,2.33,4.18,5.95,27.11,5.27

Metric,Value
Benchmark Duration (sec),733.51
OSL Mismatch Count,41.00
Output Token Throughput (tokens/sec),6480.22
Request Count,20480.00
Request Throughput (requests/sec),27.92
Total Input Sequence Length (tokens),767997767.00
Total Output Sequence Length (tokens),4753275.00
Total Output Tokens (tokens),4753275.00
Total Token Throughput (tokens/sec),1053504.39


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
