Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),80.82,24.59,164.14,827581.51,36.71,43.02,47.24,56.49,79.84,104.22,114.83,121.00,136.44,26.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,206.07,8.00,2867.00,2110121.00,18.00,21.00,24.00,28.00,67.00,204.00,542.10,917.20,1912.49,356.18
HTTP Chunks Sent,1.00,1.00,1.00,10240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,1.89,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
HTTP Connection Overhead (ms),0.00,0.00,1.89,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
HTTP Connection Reused (ratio),1.00,0.00,1.00,10236.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.02
HTTP Data Received (KB),64.37,3.00,893.04,659159.40,5.76,6.71,7.37,8.85,21.04,63.75,168.88,286.68,596.63,111.05
HTTP Data Sent (KB),140.81,76.66,287.40,1441890.10,81.18,88.53,94.77,111.03,137.32,165.67,191.94,208.74,234.14,36.97
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2275.23,316.52,26163.65,23298345.68,438.74,507.42,549.69,656.47,1010.80,2273.26,5290.69,8941.58,17969.78,3273.87
HTTP Receiving (ms),1861.13,68.25,25642.61,19057983.25,144.61,170.54,184.31,225.59,586.95,1834.29,4856.85,8515.77,17523.53,3268.79
HTTP Sending (ms),0.19,0.12,2.33,1904.31,0.13,0.14,0.15,0.16,0.19,0.20,0.23,0.24,0.28,0.04
HTTP Total Time (ms),2275.23,318.14,26163.65,23298350.29,438.74,507.42,549.69,656.47,1010.80,2273.26,5290.69,8941.58,17969.78,3273.87
HTTP Waiting (TTFB) (ms),413.91,153.15,1031.40,4238458.12,223.49,266.61,292.64,338.65,398.49,473.37,556.25,612.85,737.12,107.64
Input Sequence Length (tokens),37571.04,20555.00,77081.00,384727486.00,21694.17,23673.05,25324.00,29656.25,36594.50,44205.25,51151.80,55659.80,62461.61,9846.01
Inter Chunk Latency (ms),9.14,0.00,387.21,19054267.75,0.75,2.08,4.97,6.75,7.16,7.80,12.14,28.37,51.06,8.84
Inter Token Latency (ms),7.41,2.27,25.45,75899.86,4.78,5.55,5.95,6.70,7.54,8.22,8.60,8.85,9.66,1.09
OSL Mismatch Diff % (%),1.45,-13.33,10.00,14894.45,-1.21,-0.31,-0.15,0.25,1.11,3.33,3.33,3.33,3.33,1.46
Output Sequence Length (tokens),235.45,26.00,2991.00,2410961.00,30.00,31.00,31.00,31.00,79.00,233.00,610.10,1040.00,2154.49,400.94
Output Token Count (tokens),235.45,26.00,2991.00,2410961.00,30.00,31.00,31.00,31.00,79.00,233.00,610.10,1040.00,2154.49,400.94
Output Token Throughput Per User (tokens/sec/user),138.11,39.29,439.59,1414222.17,103.55,113.01,116.22,121.67,132.70,149.23,167.94,180.02,208.99,22.66
Prefill Throughput Per User (tokens/sec/user),93710.96,27894.61,177652.17,959600262.24,44279.62,55980.78,62864.61,76364.40,92856.77,110125.35,125339.93,133942.50,152206.45,23984.91
Request Latency (ms),2275.18,316.69,26163.56,23297798.91,438.08,507.38,549.53,656.48,1010.74,2273.25,5290.63,8941.58,17969.75,3273.87
Time to First Output Token (ms),414.41,153.42,1158.29,4243531.15,223.76,266.88,293.22,338.98,399.04,474.04,556.91,613.99,737.46,107.79
Time to First Token (ms),414.41,153.42,1158.29,4243531.15,223.76,266.88,293.22,338.98,399.04,474.04,556.91,613.99,737.46,107.79
Time to Second Token (ms),5.24,0.00,152.11,53626.15,0.36,0.59,0.72,1.00,1.55,3.15,17.69,30.48,53.34,11.11

Metric,Value
Benchmark Duration (sec),606.07
OSL Mismatch Count,13.00
Output Token Throughput (tokens/sec),3978.02
Request Count,10240.00
Request Throughput (requests/sec),16.90
Total Input Sequence Length (tokens),384727486.00
Total Output Sequence Length (tokens),2410961.00
Total Output Tokens (tokens),2410961.00
Total Token Throughput (tokens/sec),638768.06


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
