Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),37.54,7.26,168.47,1537053.66,12.82,15.97,18.24,23.79,36.13,50.15,57.00,59.41,82.97,16.20
Error Input Sequence Length (tokens),59064.08,33261.00,84264.00,708769.00,33269.91,33305.55,33738.20,40220.00,49004.50,83648.00,84145.70,84222.20,84255.64,21521.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.19,2.00,2909.00,6354924.00,9.00,12.00,16.00,23.00,50.00,156.00,404.00,690.00,1436.12,270.90
HTTP Chunks Sent,1.00,1.00,1.00,40948.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,88.63,395.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
HTTP Connection Overhead (ms),0.01,0.00,88.63,395.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
HTTP Connection Reused (ratio),0.99,0.00,1.00,40722.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),48.75,1.12,905.54,1996212.34,3.32,4.27,5.18,7.29,15.80,49.02,126.84,215.85,449.97,84.78
HTTP Data Sent (KB),140.20,76.33,302.60,5740851.09,80.80,87.94,94.34,110.96,136.43,164.94,190.48,207.12,236.36,36.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4751.33,346.93,51686.33,194557539.34,777.43,1062.05,1227.27,1584.60,2367.73,4806.40,10737.15,17416.55,35318.66,6427.73
HTTP Receiving (ms),3648.49,6.47,50097.35,149398235.05,176.52,284.55,342.42,475.57,1154.58,3655.75,9589.90,16296.80,34232.20,6409.39
HTTP Sending (ms),0.20,0.09,89.15,8247.29,0.14,0.15,0.15,0.17,0.19,0.21,0.23,0.25,0.30,0.46
HTTP Total Time (ms),4751.34,348.36,51686.33,194557934.38,777.43,1062.05,1227.27,1584.60,2367.73,4806.40,10737.15,17416.55,35318.66,6427.73
HTTP Waiting (TTFB) (ms),1102.64,159.21,6350.28,45151057.01,373.77,531.59,626.28,805.54,1045.99,1339.87,1651.11,1858.76,2313.03,413.72
Input Sequence Length (tokens),37429.76,20500.00,81210.00,1532673636.00,21630.47,23533.35,25226.00,29633.75,36417.00,44007.75,50830.30,55264.65,63057.06,9819.52
Inter Chunk Latency (ms),23.87,0.00,663.59,149373749.05,1.88,2.84,4.04,7.73,11.47,31.31,59.48,81.34,136.12,28.56
Inter Token Latency (ms),14.82,0.22,36.85,606957.04,5.58,8.79,10.49,13.18,15.51,16.65,17.79,19.07,22.85,3.23
OSL Mismatch Diff % (%),1.45,-60.00,10.00,59294.11,-1.52,-0.34,-0.16,0.25,1.11,3.33,3.33,3.33,3.33,1.54
Output Sequence Length (tokens),232.05,12.00,2999.00,9501881.00,30.00,31.00,31.00,31.00,78.00,234.00,598.00,1019.65,2138.53,395.51
Output Token Count (tokens),232.05,12.00,2999.00,9501881.00,30.00,31.00,31.00,31.00,78.00,234.00,598.00,1019.65,2138.53,395.51
Output Token Throughput Per User (tokens/sec/user),74.22,27.14,4634.53,3038956.74,43.77,52.44,56.21,60.05,64.48,75.89,95.33,113.77,179.23,69.01
Prefill Throughput Per User (tokens/sec/user),38870.73,4493.14,169583.96,1591678829.22,13136.63,17207.31,19990.11,25920.03,34870.67,47395.85,62756.40,74101.56,101723.82,18380.49
Request Latency (ms),4751.22,347.05,51686.32,194553153.29,777.38,1061.99,1227.14,1584.42,2367.56,4806.34,10737.09,17416.52,35318.57,6427.71
Time to First Output Token (ms),1103.34,159.66,6350.57,45179404.24,374.05,532.01,626.64,806.08,1046.52,1340.52,1652.39,1859.41,2314.02,413.86
Time to First Token (ms),1103.34,159.66,6350.57,45179404.24,374.05,532.01,626.64,806.08,1046.52,1340.52,1652.39,1859.41,2314.02,413.86
Time to Second Token (ms),34.92,0.00,418.25,1429816.56,1.18,2.46,3.24,5.67,14.02,50.87,92.31,121.72,192.02,42.52

Metric,Value
Benchmark Duration (sec),1054.48
Error Request Count,12.00
OSL Mismatch Count,74.00
Output Token Throughput (tokens/sec),9010.97
Request Count,40948.00
Request Throughput (requests/sec),38.83
Total Error Input Sequence Length (tokens),708769.00
Total Input Sequence Length (tokens),1532673636.00
Total Output Sequence Length (tokens),9501881.00
Total Output Tokens (tokens),9501881.00
Total Token Throughput (tokens/sec),1462499.43


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
